outcome_OutcomeID,outcome_StudyID,outcomeType,outcomeSpecific,icdCodes,prinicpalDiagnosis,outcomeDefinition,Statistical distribution,measureType,outcomeComment,study_StudyID,reviewer,dateExtracted,title,authors,publicationYear,author,studyDesign,country,region,setting,startDate,endDate,studyLength,recruitment,samplingUnit,numberOfSamplingUnits,dataCollection,ageRange,retentionRate,inclusionCriteria,Bias in Sampling frame,Standard endpoints,Confounder,Reliability,Sufficient information,qualityComment,subgroup_StudyID,subgroup_OutcomeID,SubgroupID,subgroupType,subgroupDescription,sampleSize,personYears,populationDenominator,caseCount,measureScale,estimate,lci,uci,uciEstimate,Is confidence 95%,gasCases,gasControls,gasMethod,attributableFraction,subgroupComment,weighting
25,23,Post GAS infection reactions,Rheumatic Fever,no,Not stated,"ARF case notifications from several DHB. Case definition not stated, potential for different notfication criteria and reporting?",not stated,rate,"population denominator used is the 1996 census figures by health district.
Region rates presented but too numerous to input",23,Padraig,12-May-15,Rheumatic fever registers in New Zealand,"Thornley C, McNicholas A, Baker M, Lennon D",2001,"Thornley et al., 2001",cross-sectional,New Zealand,national,community,1/01/1995,31/12/2000,5 years,notifications database,notifications,608,national disease notification system,not given,,not given,No,No,Yes,No,Yes,sate that ascertainment and measurement of case and notifcation by health provider susceptible to error and not consistent across districts,23,25,34,Total,annual incidence 1995-2000 for ARF across all age groups and DHB,-9,-9,-9,608,"per 100,000",2.8,-9,-9,2.8,TRUE,0,0,,0,,5
25,23,Post GAS infection reactions,Rheumatic Fever,no,Not stated,"ARF case notifications from several DHB. Case definition not stated, potential for different notfication criteria and reporting?",not stated,rate,"population denominator used is the 1996 census figures by health district.
Region rates presented but too numerous to input",23,Padraig,12-May-15,Rheumatic fever registers in New Zealand,"Thornley C, McNicholas A, Baker M, Lennon D",2001,"Thornley et al., 2001",cross-sectional,New Zealand,national,community,1/01/1995,31/12/2000,5 years,notifications database,notifications,608,national disease notification system,not given,,not given,No,No,Yes,No,Yes,sate that ascertainment and measurement of case and notifcation by health provider susceptible to error and not consistent across districts,23,25,35,Age,average annual incidence 5-14 year olds across all DHBs and ethnicities.,-9,-9,-9,-9,"per 100,000",13.8,-9,-9,13.8,TRUE,0,0,,0,75.3% of cases were in this age group,5
25,23,Post GAS infection reactions,Rheumatic Fever,no,Not stated,"ARF case notifications from several DHB. Case definition not stated, potential for different notfication criteria and reporting?",not stated,rate,"population denominator used is the 1996 census figures by health district.
Region rates presented but too numerous to input",23,Padraig,12-May-15,Rheumatic fever registers in New Zealand,"Thornley C, McNicholas A, Baker M, Lennon D",2001,"Thornley et al., 2001",cross-sectional,New Zealand,national,community,1/01/1995,31/12/2000,5 years,notifications database,notifications,608,national disease notification system,not given,,not given,No,No,Yes,No,Yes,sate that ascertainment and measurement of case and notifcation by health provider susceptible to error and not consistent across districts,23,25,36,Ethnicity,"age 5-14 year old Pacific Islander, all DHB",-9,-9,-9,-9,"per 100,000",64.5,-9,-9,64.5,TRUE,0,0,,0,,5
25,23,Post GAS infection reactions,Rheumatic Fever,no,Not stated,"ARF case notifications from several DHB. Case definition not stated, potential for different notfication criteria and reporting?",not stated,rate,"population denominator used is the 1996 census figures by health district.
Region rates presented but too numerous to input",23,Padraig,12-May-15,Rheumatic fever registers in New Zealand,"Thornley C, McNicholas A, Baker M, Lennon D",2001,"Thornley et al., 2001",cross-sectional,New Zealand,national,community,1/01/1995,31/12/2000,5 years,notifications database,notifications,608,national disease notification system,not given,,not given,No,No,Yes,No,Yes,sate that ascertainment and measurement of case and notifcation by health provider susceptible to error and not consistent across districts,23,25,37,Ethnicity,"maori 5-14 year old, all DHB",-9,-9,-9,-9,"per 100,000",31.9,-9,-9,31.9,TRUE,0,0,,0,,5
26,24,Post GAS infection reactions,Rheumatic Fever,"100, 101.0, 101.2, 101.8, 101.9,
102.0, 102.9",Any diagnosis,2008 Heart Foundation guidelines and modifeied Jones criteria (with echo),not stated,rate,95% of cases were maori so all rates presented ared are for maori,24,Padraig,12-May-15,"The epidemiology of acute rheumatic fever in Northland, 2002-2011","Robin A, Mills C, Tuck R, Lennon D",2013,"Robin et al., 2013",prospective cohort,New Zealand,Northland,hospital discharges,2002,2011,9 years,"hospital discharges, RF register, notifications",cases diagnosed with ARF,114,clinical notes,mean(range): 11.4(4-26),-9,"DIAGNOSED WITH arf AND MET CRITERIA 2008 Heart foundation guidelines during 2002-2001, resident in Northland and aged less than 35 years ast the time of diagnosis",No,Yes,Yes,Yes,Yes,,24,26,38,Age,average annual incidence Maori 5-14 age group Northland 2002-2011,-9,-9,-9,-9,"per 100,000",78,0,0,78,TRUE,0,0,,0,,5
26,24,Post GAS infection reactions,Rheumatic Fever,"100, 101.0, 101.2, 101.8, 101.9,
102.0, 102.9",Any diagnosis,2008 Heart Foundation guidelines and modifeied Jones criteria (with echo),not stated,rate,95% of cases were maori so all rates presented ared are for maori,24,Padraig,12-May-15,"The epidemiology of acute rheumatic fever in Northland, 2002-2011","Robin A, Mills C, Tuck R, Lennon D",2013,"Robin et al., 2013",prospective cohort,New Zealand,Northland,hospital discharges,2002,2011,9 years,"hospital discharges, RF register, notifications",cases diagnosed with ARF,114,clinical notes,mean(range): 11.4(4-26),-9,"DIAGNOSED WITH arf AND MET CRITERIA 2008 Heart foundation guidelines during 2002-2001, resident in Northland and aged less than 35 years ast the time of diagnosis",No,Yes,Yes,Yes,Yes,,24,26,39,Ethnicity,"average annual incidence maori <35 years of age, northland resident  2002-2011",-9,-9,-9,108,"per 100,000",24.8,-9,-9,24.8,TRUE,0,0,,0,,5
47,43,Direct sequel of post-infection reactions,Heart Failure,no,Not stated,"HF guidelines independently adjudicated by two doctors, ESC guidelines for the diagnosis and
treatment of acute and chronic heart failure 2008. Eur Heart J",normal and median,odds ratio,,43,Padraig,20-May-15,"Heart failure, ventricular dysfunction and risk factor prevalence in Australian Aboriginal peoples: the Heart of the Heart study","McGrady M, Krum H, Carrington MJ, Stewart S, Zeitz C, Lee GA, Marwick TH, Haluska BA, Brown A",2012,"McGrady et al., 2012",cross-sectional,Australia,Central Australia,community,may 2008,November 2009,-9,multi-center,,436,"researcher administered questionaire, medical record review, clinicnal assesment",mean(range): 44(18-80),,Aboriginal adults >18 years old residing in one of the study communities. Informed consent,No,Unclear,Yes,Yes,No,"heart failure detailed measurement, RHD based on medical records, criteria not detailed",43,47,85,Total,"Odds ratio of heart failure diagnosis associated with medical history of ARF/RHD in Australian Aboriginalpopulation, adjusted for age and sex",436,-9,-9,23,ratio,5.6,2,15.9,15.9,TRUE,0,0,,0,,5
48,44,Post GAS infection reactions,Rheumatic Fever,no,Not stated,2006 Australian guidelines for diagnosing ARF (NHFA),not given,proportion,approx 62% case ascertainment,44,Padraig,21-May-15,A national prospective surveillance study of acute rheumatic fever in Australian children,"Noonan S, Zurynski YA, Currie BJ, McDonald M, Wheaton G, Nissen M, Curtis N, Isaacs D, Richmond P, Ramsay JM, Elliot EJ, Carapetis JR",2013,"Noonan et al., 2013",prospective cohort,Australia,National,surveillance,01/10/2007,31/12/2010,3 years 2 months,clinician survey,notifications,241,questionnaire,median(range): 10.2(3.1-14.9),93,"children =<15 years, ARF episode within the study period as defined by 2006 Australina diagnostic criteria for ARF",Yes,Yes,Yes,No,Yes,says prospective but detailed risk factor data collected after case diagnosis/suspected notification.,44,48,86,Ethnicity,Australian indigenous children <=15 years,151,-9,-9,131,% sample,87,-9,-9,87,TRUE,0,0,,0,,5
48,44,Post GAS infection reactions,Rheumatic Fever,no,Not stated,2006 Australian guidelines for diagnosing ARF (NHFA),not given,proportion,approx 62% case ascertainment,44,Padraig,21-May-15,A national prospective surveillance study of acute rheumatic fever in Australian children,"Noonan S, Zurynski YA, Currie BJ, McDonald M, Wheaton G, Nissen M, Curtis N, Isaacs D, Richmond P, Ramsay JM, Elliot EJ, Carapetis JR",2013,"Noonan et al., 2013",prospective cohort,Australia,National,surveillance,01/10/2007,31/12/2010,3 years 2 months,clinician survey,notifications,241,questionnaire,median(range): 10.2(3.1-14.9),93,"children =<15 years, ARF episode within the study period as defined by 2006 Australina diagnostic criteria for ARF",Yes,Yes,Yes,No,Yes,says prospective but detailed risk factor data collected after case diagnosis/suspected notification.,44,48,87,Rurality,remote children <=15 years,151,-9,-9,100,% sample,66,-9,-9,66,TRUE,0,0,,0,remote almost entirely indigenous. Remoteness not defined,5
49,45,Invasive and toxin-mediated GAS disease,Bacteraemia,no,Not stated,"Group A Streptococcus positive blood cultures, as determined by Streptex latex agglutination tests",n/a,prevalence,rates also presnted graphically but no numbers,45,Padraig,22-May-15,Bacteraemia caused by beta-haemolytic streptococci in North Queensland: changing trends over a 14-year period,"Harris P, Siew DA, Proud M, Norton R",2010,"Harris et al., 2010",prospective cohort,Australia,North Queensland,hospital,-9,-9,14 years,hospitalisation,bacteraemic episode,392,laboratory database,mean(SD): 48.39(28.02),,"positive blood culture for a BHS, repeat positive culture wihtin 28 days of initial culture counted as single episode",No,Yes,Yes,Yes,,teriary center. Refererral,45,49,88,Total,GAS positive episodes as a % of all bacteraemic episodes identified over the study period,392,-9,-9,191,%,49,-9,-9,49,TRUE,0,0,,0,,5
50,45,Invasive and toxin-mediated GAS disease,Bacteraemia,,,mortality at 28 days after initial bacteraemia,,mortality rate,,45,Padraig,22-May-15,Bacteraemia caused by beta-haemolytic streptococci in North Queensland: changing trends over a 14-year period,"Harris P, Siew DA, Proud M, Norton R",2010,"Harris et al., 2010",prospective cohort,Australia,North Queensland,hospital,-9,-9,14 years,hospitalisation,bacteraemic episode,392,laboratory database,mean(SD): 48.39(28.02),,"positive blood culture for a BHS, repeat positive culture wihtin 28 days of initial culture counted as single episode",No,Yes,Yes,Yes,,teriary center. Refererral,45,50,89,Deaths,28-mortality following initial GAS positive bacteraemic episode,191,-9,-9,15,%,7.9,4.5,12.6,12.6,TRUE,0,0,,0,,5
51,46,Invasive and toxin-mediated GAS disease,Bacteraemia,no,Not stated,Community acquired bacteraemias. Not further defined,not stated,proportion,,46,Padraig,22-May-15,Bacteraemia at Gisborne Hospital,"Bloomfield M, Briant R",2008,"Bloomfield et al., 2008",cross-sectional,New Zealand,Gisborne,Hospital,1/04/2006,31/3/2007,1 year,,blood culture sets,1200,laboratory database and clinical notes,,,,,,,,,,46,51,91,Total,GAS positive blood culture sets as a percentage of positive community acquired bacteraemias,1200,-9,-9,45,,-9,-9,-9,-9,TRUE,13,-9,blood culture,0,,5
52,47,Invasive and toxin-mediated GAS disease,Bacteraemia,no,Not stated,outcome not defined,-9,incidence rate,,47,Padraig,22-May-15,Clinical and epidemiological features of group A streptococcal bacteraemia in a region with hyperendemic superfical streptococcal infection,"Carapetis JR, Walker AM, Hibble M, Sriprakash KS, Currie BJ",1999,"Carapetis et al., 1999",cross-sectional,Australia,Top End,Hospital,January 1991,December 1996,6 year,blood culture records,bacteraemic episodes,72,medical charts,mean(SD): 41.7(24.7),-9,,Unclear,Unclear,No,Unclear,No,,47,52,92,Ethnicity,age-standardized incidence per year in aboriginal people,70,-9,-9,44,"per 100,000",32.2,-9,-9,32.2,TRUE,0,0,,0,crude incidence rates also presented,5
52,47,Invasive and toxin-mediated GAS disease,Bacteraemia,no,Not stated,outcome not defined,-9,incidence rate,,47,Padraig,22-May-15,Clinical and epidemiological features of group A streptococcal bacteraemia in a region with hyperendemic superfical streptococcal infection,"Carapetis JR, Walker AM, Hibble M, Sriprakash KS, Currie BJ",1999,"Carapetis et al., 1999",cross-sectional,Australia,Top End,Hospital,January 1991,December 1996,6 year,blood culture records,bacteraemic episodes,72,medical charts,mean(SD): 41.7(24.7),-9,,Unclear,Unclear,No,Unclear,No,,47,52,93,Ethnicity,age-standardized incidence per year GAS bacteraemia episodes in non-aboriginal population,70,-9,-9,28,"per 100,000",6.4,-9,-9,6.4,TRUE,0,0,,0,,5
52,47,Invasive and toxin-mediated GAS disease,Bacteraemia,no,Not stated,outcome not defined,-9,incidence rate,,47,Padraig,22-May-15,Clinical and epidemiological features of group A streptococcal bacteraemia in a region with hyperendemic superfical streptococcal infection,"Carapetis JR, Walker AM, Hibble M, Sriprakash KS, Currie BJ",1999,"Carapetis et al., 1999",cross-sectional,Australia,Top End,Hospital,January 1991,December 1996,6 year,blood culture records,bacteraemic episodes,72,medical charts,mean(SD): 41.7(24.7),-9,,Unclear,Unclear,No,Unclear,No,,47,52,94,Ethnicity,age-standardized Ratio ratio aboriginal over non-aboriginal incidence of GAS bacteraemic episodes,70,-9,-9,-9,ratio,5,3.3,7.8,7.8,TRUE,0,0,,0,,5
53,49,Invasive and toxin-mediated GAS disease,Bacteraemia,ICD10,Any diagnosis,"positive GAS culture from sterile site, clinicla presentation with evidence of GAS infection, previously published STSS criteria used and reported",not given,incidence,,49,Padraig,25-May-15,"The epidemiology of invasive group A streptococcal disease in Victoria, Australia\","O'Grady K-AF, Kelpie L, Andrews RM, Curtis N, Nolan TM, Selvaraj G, Passmore JW, Oppedisano F, Carnie JA, Carapetis JR",2007,"O'Grady et al., 2007",prospective cohort,Australia,Victoria,"hospital, GP, laboratory",1/03/2002,31/08/2004,30 months,active and passive surveillance,confirmed cases,333,"treating physician, medical record review",mean(95%CI): 45.8(42.6-49.0),,"isolation ofo GAS from a sterile site, clinicnal presentation of nec. Fac. With GAS infection evidence, clinicla presentation of pharyngeal abscess",No,Yes,Yes,Unclear,Yes,"active case finding, lots of sources",49,53,95,Total,annualised incidence of invasive GAS bacteraemia,333,-9,-9,240,"per 100,000 population",2,1.6,2.4,2.4,TRUE,0,0,,0,,5
53,49,Invasive and toxin-mediated GAS disease,Bacteraemia,ICD10,Any diagnosis,"positive GAS culture from sterile site, clinicla presentation with evidence of GAS infection, previously published STSS criteria used and reported",not given,incidence,,49,Padraig,25-May-15,"The epidemiology of invasive group A streptococcal disease in Victoria, Australia\","O'Grady K-AF, Kelpie L, Andrews RM, Curtis N, Nolan TM, Selvaraj G, Passmore JW, Oppedisano F, Carnie JA, Carapetis JR",2007,"O'Grady et al., 2007",prospective cohort,Australia,Victoria,"hospital, GP, laboratory",1/03/2002,31/08/2004,30 months,active and passive surveillance,confirmed cases,333,"treating physician, medical record review",mean(95%CI): 45.8(42.6-49.0),,"isolation ofo GAS from a sterile site, clinicnal presentation of nec. Fac. With GAS infection evidence, clinicla presentation of pharyngeal abscess",No,Yes,Yes,Unclear,Yes,"active case finding, lots of sources",49,53,96,Ethnicity,annulised incidence indigenous invasive GAS disease,-9,-9,-9,2,"per 100,000 population",2.9,-9,-9,2.9,TRUE,0,0,,0,,5
54,49,Invasive and toxin-mediated GAS disease,STSS,ICD10,Any diagnosis,previously published STSS criteria used and reported (JAMA 1993),not given,case fatality rate,,49,Padraig,25-May-15,"The epidemiology of invasive group A streptococcal disease in Victoria, Australia\","O'Grady K-AF, Kelpie L, Andrews RM, Curtis N, Nolan TM, Selvaraj G, Passmore JW, Oppedisano F, Carnie JA, Carapetis JR",2007,"O'Grady et al., 2007",prospective cohort,Australia,Victoria,"hospital, GP, laboratory",1/03/2002,31/08/2004,30 months,active and passive surveillance,confirmed cases,333,"treating physician, medical record review",mean(95%CI): 45.8(42.6-49.0),,"isolation ofo GAS from a sterile site, clinicnal presentation of nec. Fac. With GAS infection evidence, clinicla presentation of pharyngeal abscess",No,Yes,Yes,Unclear,Yes,"active case finding, lots of sources",49,54,97,Total,case fatality rate STSS,48,-9,-9,11,%,23,-9,-9,23,TRUE,0,0,,0,,5
55,49,Invasive and toxin-mediated GAS disease,Bacteraemia,ICD10,Any diagnosis,"positive GAS culture from sterile site, clinicla presentation with evidence of GAS infection, previously published STSS criteria used and reported",not given,case fatality rate,,49,Padraig,25-May-15,"The epidemiology of invasive group A streptococcal disease in Victoria, Australia\","O'Grady K-AF, Kelpie L, Andrews RM, Curtis N, Nolan TM, Selvaraj G, Passmore JW, Oppedisano F, Carnie JA, Carapetis JR",2007,"O'Grady et al., 2007",prospective cohort,Australia,Victoria,"hospital, GP, laboratory",1/03/2002,31/08/2004,30 months,active and passive surveillance,confirmed cases,333,"treating physician, medical record review",mean(95%CI): 45.8(42.6-49.0),,"isolation ofo GAS from a sterile site, clinicnal presentation of nec. Fac. With GAS infection evidence, clinicla presentation of pharyngeal abscess",No,Yes,Yes,Unclear,Yes,"active case finding, lots of sources",49,55,98,Total,Case fatality rate due to GAS disease,333,-9,-9,25,%,7.8,-9,-9,7.8,TRUE,0,0,,0,"lots of other data such as hospitalisation, length of stay, surgery available",5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,99,Ethnicity,Indigenous age-adjusted death rate with RHD as underlying cause from NT 1997-2005,-9,-9,-9,83,"per 100,000",25.3,18.3,32.2,32.2,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,100,Sex,MALE Indigenous age-adjusted death rate with RHD as underlying cause from NT 1997-2005,-9,-9,-9,30,"per 100,000",14.8,0.8,21.6,21.6,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,101,Sex,FEMALE Indigenous age-adjusted death rate with RHD as underlying cause from NT 1997-2005,-9,-9,-9,53,"per 100,000",33.1,22.3,44,44,TRUE,0,0,,0,urban/remote rates also presented for 1977-2005 only,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,102,Age,0-4 YEARS Indigenous death rate with RHD as underlying cause from NT 1997-2005,-9,-9,-9,1,"per 100,000",1.5,0.2,10.5,10.5,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,104,Age,5-24 YEARS Indigenous death rate with RHD as underlying cause from NT 1997-2005,-9,-9,-9,14,"per 100,000",6.1,3.6,10.4,10.4,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,105,Age,25-44 YEARS Indigenous death rate with RHD as underlying cause from NT 1997-2005,-9,-9,-9,39,"per 100,000",25.2,18.4,34.5,34.5,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,106,Age,45-64 YEARS Indigenous death rate with RHD as underlying cause from NT 1997-2005,-9,-9,-9,20,"per 100,000",33.2,21.4,51.5,51.5,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,107,Age,65+ YEARS Indigenous death rate with RHD as underlying cause from NT 1997-2005,-9,-9,-9,9,"per 100,000",63.4,33,121.9,121.9,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,108,Age,"SEMI-NATIONAL 0-4 YEARS  Indigenous death rate with RHD as underlying cause; WA, SA, NT, QLD, NSW 1997-2005",-9,-9,-9,1,"per 100,000",0.19,0,1.4,1.4,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,109,Age,"SEMI-NATIONAL 5-24 YEARS  Indigenous death rate with RHD as underlying cause; WA, SA, NT, QLD, NSW 1997-2005",-9,-9,-9,25,"100,000",1.55,1,2.3,2.3,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,110,Age,"SEMI-NATIONAL 25-44 YEARS  Indigenous death rate with RHD as underlying cause; WA, SA, NT, QLD, NSW 1997-2005",-9,-9,-9,80,"100,000",7.75,6.2,9.7,9.7,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,111,Age,"SEMI-NATIONAL 45-64 YEARS  Indigenous death rate with RHD as underlying cause; WA, SA, NT, QLD, NSW 1997-2005",-9,-9,-9,52,"100,000",12.04,9.2,15.8,15.8,TRUE,0,0,,0,,5
56,50,Direct sequel of post-infection reactions,Rheumatic heart disease,ICD10,Principal,Mortality rate RHD listed as underlying cause,negative binomial,mortality rate,"All subgroups extracted are for indigenous unless otherwise stated,, however non-indigenous rates also given in paper.
'Associated cause' mortality Also presetned in paper",50,Padraig,26-May-15,RHD mortality in Indigenous Australians [Thesis],Colquhoun S,2015,"Colquhoun et al., 2015",retrospective cohort,Australia,semi national,death registry,1997,2005,8 years,death registry,deaths,,ABS,0-65+,,,Yes,Yes,Yes,Yes,Yes,"potential for measurement bias due to indigenous status?

**Grey literature Thesis. Data under submission currently",50,56,112,Age,"SEMI-NATIONAL 65+ YEARS  Indigenous death rate with RHD as underlying cause; WA, SA, NT, QLD, NSW 1997-2005",-9,-9,-9,29,"100,000",27.76,19.9,40,40,TRUE,0,0,,0,,5
57,51,Invasive and toxin-mediated GAS disease,Bacteraemia,no,Not stated,invasive GAS isolate cultured from a previously sterile site,poisson,rate,"c ase fatality rate also given, and rate of postpartu, infection 
(puerperal sepsis?), hospitalization rates and vaccine preventable fraction",51,Padraig,26-May-15,"Invasive group A streptococcal infection and vaccine implications, Auckland, New Zealand","Safar A, Lennon D, Stewart J, Trenholme A, Drinkovic D, Peat B, Taylor S, Read K, Roberts S, Voss L",2011,"Safar et al., 2011",prospective cohort,New Zealand,Auckland,public hospital admission,1/01/2005,31/12/2006,2 years,laboratory surveillance,,,,,,"resided in metropolitan Auckland, GAS isolate cultured from a previously sterile body cavity",No,Yes,Yes,Yes,Yes,wide coverage for specified target pop,51,57,113,Total,population incidence of invasive GAS Auckland 2005-2006,225,-9,-9,225,"per 100,000",8.1,-9,-9,8.1,TRUE,0,0,,0,,5
